text,spam__no,spam__yes,phishing__no,phishing__yes,intent__legitimate_personal,intent__legitimate_marketing,intent__credential_theft,intent__payment_fraud,intent__malware_lure,intent__other_scam,impersonates__no,impersonates__yes,urgency__0,urgency__1,urgency__2,urgency__3
"like the ""brain fingerprinting"" touted by Steve Kirsch last October... http://www.skirsch.com/politics/plane/ultimate.htmThe commercial firm may very well be ""Human Brain Research Labs, Inc.""... http://www.brainwavescience.com/- Gordon----- Original Message ----- From: ""Chris Arkenberg"" To: Sent: Saturday, August 17, 2002 12:46 AM Subject: NASA mindreading > NASA Plans to Read Terrorist's Minds at Airports > http://www.washtimes.com/national/20020817-704732.htm > > This just strikes me as being so ridiculously bizarre. We are truly > beginning to blur reality with science fiction. Makes me think of Minority > Report (although PKD realized this future decades ago). Especially > concerning (or intriguing?) is the revelation that ""the agency is > developing brain-monitoring devices in cooperation with a commercial firm, > which it did not identify"". > > http://xent.com/mailman/listinfo/forkhttp://xent.com/mailman/listinfo/fork",0.97,0.03,0.99,0.01,0.96,0.02,0.005,0.005,0.005,0.005,0.99,0.01,0.96,0.03,0.007,0.003
"ecdl98 - final call for participation _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ final call for participation second european conference on research and advanced technology for digital libraries european european ics-forth university of union research crete consortium for informatics and mathematics - ieee computer society - lambrakis research foundation - ote - forthnet - general secretariat for research and technology , ministry for development , hellenic republic - hellenic ministry of culture - intracom - net computers & peripherals - general electric capital information technology solutions - cabernet - ergodata - air greece - swets & zeitlinger b . v . 19 - 23 september , 1998 knossos royal village , heraklion , crete , greece web page : http : / / www . csi . forth . gr / 2eurodl e - mail : ecdl @ cc . uch . gr _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ we cordially invite you to join us at the second european conference on research and advanced technology for digital libraries , to be held at heraklion , crete , greece , september 19-23 . a wellcoming reception will take place on sunday , september 20 , 19 : 00 , at knossos royal village , by the pool . the conference opening session will take place at 9 . 00a . m . on monday the 21th of september 1998 and the final session will take place on wednesday afternoon , the 23rd of september 1998 . traditional cretan dinner with traditional cretan music will be organized on tuesday , september 22 , at a restaurant in the lasithi plateau , with a panoramic view of the area . the technical talks are complemented by internationally renowned experts ' invited presentations and special sessions , panel discussions , as well as poster and demonstration sessions . the 7th delos workshop on electronic commerce will be held jointly with the second european conference on research and advanced technology . tutorials will be organized on the 19th and 20th of september 1998 . detailed information concerning registration and accomodation , as well as an electronic version of the registration form , can be found at the conference web pages , http : / / www . ics . forth . gr / 2eurodl / registration . html and http : / / www . ics . forth . gr / 2eurodl / hotel . html most recent additions to the conference programme include another w3c sponsored tutorial on saturday , september 19 ( early registration fee will be charged for the new tutorial , "" using rdf to manage multilingual web sites "" , presented by janne saarela ) . for the most updated information regarding the conference programme please consult the conference web page , under the ' conference programme ' section , http : / / www . ics . forth . gr / 2eurodl / programme . html for specific information please consult the appropriate sections",0.94,0.06,0.98,0.02,0.08,0.88,0.01,0.01,0.01,0.01,0.98,0.02,0.35,0.6,0.04,0.01
"best love dr @ gs at best store ! one time discount order for vl @ gra , clal 1 s ! vl @ gra discount order today its only $ 0 . 95 per dose . generic vi @ gra , 24 x 100 mg regular tabs ( 48 dozes ) only $ 46 . 00 new product 1 : generic viagra , 24 x 100 mg soft tabs ( 48 dozes ) what is soft tabs ? only $ 60 . 00 new product 2 : generic clal 1 s , 10 x 20 mg tadalafil what is soft clal 1 s ? only $ 68 . 00 special offer ! these prices are valid until 10 th of december ! vl @ gra discount order",0.0050000000000000044,0.995,0.4,0.6,0.01,0.12,0.05,0.45,0.04,0.33,0.9,0.1,0.15,0.7,0.13,0.02
"URL: http://boingboing.net/#85534316
Date: Not suppliedLast Friday's Christie's auction of original physics manuscripts included 
original works by Einstein, Curie, Newton and other physics rock-stars. The 
Einstein (which included an early attempt to prove relativity) went to an 
anonymous bidder for $500,000. Link[1] Discuss[2][1] http://www.sciam.com/article.cfm?chanID=sa003&articleID=0007B1D4-EC91-1D9D-815A809EC5880000
[2] http://www.quicktopic.com/boing/H/uiCM4MRSGBDC",0.97,0.03,0.98,0.02,0.1,0.85,0.01,0.01,0.02,0.01,0.98,0.02,0.96,0.03,0.007,0.003
"fw : thursday , jan 3 rd conference call circus maximus - - - - - original message - - - - - from : zelin , steven [ mailto : zelin @ blackstone . com ] sent : wednesday , january 02 , 2002 2 : 56 pm to : ' albertazzi . cinzia @ enel . it ' ; nathoo , raffiq ; muller , mark s . cc : hoffman , michael subject : thursday , jan 3 rd conference call importance : high below are the details for tomorrow ' s call : date : thursday , jan 3 rd time : 9 am est ( 8 am cst and 3 pm in italy ) dial in # international : 954 - 797 - 1944 dial in # domestic : 877 - 475 - 9228 ( toll free ) steve zelin ' s host code : 925131 participant code : 769188 estimated duration of call : 2 hours if you have any questions , please call norma moriarity at 212 - 583 - 5754 . thank you .",0.98,0.02,0.98,0.02,0.96,0.01,0.01,0.01,0.005,0.005,0.98,0.02,0.35,0.6,0.05,0.0
"chinese corpus dear netters , do you know of any chinese corpus ? i am doing some chinese analysis and would like to get hold of a chinese corpus . it does n't matter which chinese mode it uses ( gb , big5 , hz , etc . ) if you know one , please send me a message . thank you . ruizhong wang applied linguistics program northern arizona university ruizhong @ nauvax . ucc . nau . edu",0.97,0.03,0.98,0.02,0.95,0.02,0.01,0.005,0.005,0.01,0.98,0.02,0.95,0.04,0.007,0.003
we deliver to your door within 24 hours !,0.14,0.86,0.7,0.3,0.1,0.45,0.05,0.1,0.05,0.25,0.9,0.1,0.7,0.25,0.04,0.01
"Message<!--
 /* Style Definitions */
 p.MsoNormal, li.MsoNormal, div.MsoNormal
	{mso-style-parent:"""";
	margin:0in;
	margin-bottom:.0001pt;
	mso-pagination:widow-orphan;
	font-size:12.0pt;
	font-family:""Times New Roman"";
	mso-fareast-font-family:""Times New Roman"";}
a:link, span.MsoHyperlink
	{color:blue;
	text-decoration:underline;
	text-underline:single;}
a:visited, span.MsoHyperlinkFollowed
	{color:blue;
	text-decoration:underline;
	text-underline:single;}
p.MsoAutoSig, li.MsoAutoSig, div.MsoAutoSig
	{margin:0in;
	margin-bottom:.0001pt;
	mso-pagination:widow-orphan;
	font-size:12.0pt;
	font-family:""Times New Roman"";
	mso-fareast-font-family:""Times New Roman"";}
p
	{mso-margin-top-alt:auto;
	margin-right:0in;
	mso-margin-bottom-alt:auto;
	margin-left:0in;
	mso-pagination:widow-orphan;
	font-size:12.0pt;
	font-family:""Times New Roman"";
	mso-fareast-font-family:""Times New Roman"";}
span.EmailStyle19
	{mso-style-type:personal;
	mso-style-noshow:yes;
	mso-ansi-font-size:10.0pt;
	mso-bidi-font-size:10.0pt;
	font-family:Arial;
	mso-ascii-font-family:Arial;
	mso-hansi-font-family:Arial;
	mso-bidi-font-family:Arial;
	color:navy;}
span.EmailStyle20
	{mso-style-type:personal;
	mso-style-noshow:yes;
	mso-ansi-font-size:10.0pt;
	mso-bidi-font-size:10.0pt;
	font-family:Arial;
	mso-ascii-font-family:Arial;
	mso-hansi-font-family:Arial;
	mso-bidi-font-family:Arial;
	color:navy;}
@page Section1
	{size:8.5in 11.0in;
	margin:1.0in 1.25in 1.0in 1.25in;
	mso-header-margin:.5in;
	mso-footer-margin:.5in;
	mso-paper-source:0;}
div.Section1
	{page:Section1;}
-->
visit us at 
                  www.sqlcare.comor 
                  call us at (214) 740.0923 
Â To be Removed, reply with REMOVE in 
the
subject line.",0.06999999999999995,0.93,0.92,0.08,0.05,0.82,0.03,0.02,0.02,0.06,0.94,0.06,0.92,0.06,0.015,0.005
"To: yyyy@netnoteinc.com
############################################
#                                          #
#       Adult Online Super Store           #
#              Shhhhhh...                  #
#     You just found the Internet's        #
#          BEST KEPT SECRET!!!             #
#    3 Vivid DVDs Absolutely FREE!!!       #
#                                          #
############################################If you haven't seen it yet... we are offering a
new weekly selection absolutely FREE Adult DVDs
AND VIDEOS NO PURCHASE NECESSARY!!!!! GO TO: http://209.203.162.20/8230/Everything must go!!! Additional Titles as
low as $6.97>>>>>>>>>NO PURCHASE NECESSARY! <<<<<<<<<<<############################################
#                                          #
#  Don't forget to forward this email to   #
#  all your friends for the same deal...   #
#  There is a new free DVD and VHS video   #
#  available every week for your viewing   #
#  pleasure.                               #
#                                          #
############################################Removal Instructions:You have received this advertisement because you have opted in to receive 
free adult internet offers and specials through our affiliated websites. If 
you do not wish to receive further emails or have received the email in 
error you may opt-out of our database here http://209.203.162.20/optout.html 
. Please allow 24 hours for removal.This e-mail is sent in compliance with the Information Exchange Promotion 
and Privacy Protection Act. section 50 marked as 'Advertisement' with valid 
'removal' instruction.kpjxxyrsjsnapbhilmbgsnenma",0.0050000000000000044,0.995,0.5,0.5,0.01,0.35,0.15,0.08,0.04,0.37,0.92,0.08,0.3,0.55,0.13,0.02
"URL: http://diveintomark.org/archives/2002/09/30.html#best
Date: 2002-09-30T16:06:50-05:00_Heather Hamilton_: Very Best of the World's Worst[1]. â€œAfter watching 
last night's premiere of ""The Very Best of the World's Worst Drivers: 2"" I 
tried to figure out what it was about these very best worst drivers that made 
them the very best, but not really _the_ very best, because if they really were 
_the_ very best, wouldn't they have been featured on ""The Very Best of the 
World's Worst Drivers: 1"" ?â€[1] http://www.dooce.com/mtarchives/09_30_2002.html",0.97,0.03,0.98,0.02,0.55,0.4,0.01,0.01,0.01,0.02,0.97,0.03,0.96,0.03,0.007,0.003
"timetable adjustments louise , some further clarification on the hsr waiting period : - we will receive a letter indicating when the waiting period will expire . the actual expiry is anticipated to be midnight on thursday , feb . 7 th . - it is possible that objections or problems could be raised during the waiting period . this we will not really know that we are cleared until sometime on friday , feb . 8 th . accordingly , i will plan on a tentative launch for monday , february 11 . i am still waiting for ubs legal approval of the pa and eta . once this is received , we will be ready to start our pa marketing efforts to the top 50 customers . i intend to do this as soon as the documents are approved . if you need me to check with you before we start contacting customers , please let me know . dave",0.98,0.02,0.98,0.02,0.95,0.02,0.01,0.01,0.005,0.005,0.98,0.02,0.45,0.5,0.04,0.01
"ena trading track all , thank you for your time yesterday interviewing for the ena trading track . i would be grateful if you would not discuss feedback with any of the candidates until all offers are confirmed . i will advise you when candidates have been notified . thanks once again . regards , karen .",0.98,0.02,0.98,0.02,0.95,0.02,0.01,0.005,0.005,0.01,0.98,0.02,0.9,0.08,0.015,0.005
"research mike , vince and i are eager to see if our group can play a role in helping you in your development work using some combination of the or experts in our group and the resources to which we have access at stanford . can we get together for a short planning session when you are next in houston ? please let me know your schedule , or have your assistant coordinate a time with vince ' s assistant , shirley crenshaw ( x 35290 ) . thanks , stinson",0.98,0.02,0.98,0.02,0.96,0.01,0.01,0.01,0.005,0.005,0.98,0.02,0.9,0.09,0.01,0.0
"ecdl98 - final call for papers _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ call for papers second european conference on research and advanced technology for digital libraries european european ics-forth university of union research crete consortium for informatics and mathematics 19 - 23 september , 1998 heraklion , crete , greece http : / / www . csi . forth . gr / 2eurodl ecdl @ cc . uch . gr _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ be sure to check the following categories : papers , posters , accepted tutorials , panels and demos , invited speakers , special sessions _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ - objectives this conference is the second of a series of european conferences on research and technology for digital libraries funded by the european commission 's tmr programme . its objectives are : to bring together researchers from multiple disciplines whose science relates to the development of digital libraries ; to provide an opportunity for these scientists to form a research community in europe specific to digital library development and to enable them to discuss issues and strategies specific to the european context ; to assist young researchers in establishing relationships with senior scientists in their areas of interest ; to enable review and discussion of research under way in europe , the us , japan and other countries on digital libraries ; to stimulate researchers , especially young scientists , to explore new areas of interest in digital library development ; to establish a forum for discussion of issues specific to europe such as interoperability , multilinguality , intellectual property policy , and information commerce ; to provide an opportunity for researchers in the relevant enabling technologies and information sciences , to discuss issues related to interoperability between world wide distributed digital libraries . > from a technical point of view , the european conferences series aims to contribute to the definition of those digital library parameters which especially influence issues of access , retrieval , and interaction with information ; to identify key problems which must be solved to make digital library services an effective reality ; to identify a general structure or framework for integrating research and solutions ; and to propose and encourage specific , high priority research directions within such a framework . _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ - topics the conference organisers solicit papers on topics related to digital libraries , including but not limited to the following list : o digital library models , frameworks , an",0.96,0.04,0.98,0.02,0.08,0.88,0.01,0.01,0.01,0.01,0.98,0.02,0.35,0.6,0.04,0.01
"conference announcement southern illinois university edwardsville and carbondale invite submission of abstracts for the 1998 mid - american linguistics conference we will continue the 33 year tradition of accepting papers on all linguistic topics . linguists in all areas of specialization are encouraged to submit abstracts . this year 's meeting will feature special interest sessions on prosody and bilingualism . it will also feature an excursion to cahokia mounds historic site . plenary speaker : professor gregory ward , northwestern university location : the conference will be in the university center on the campus of southern illinois university edwardsville . edwardsville is located at the junctions of i-270 and highway 157 about 25 miles east of downtown st . louis . guidelines for submission of papers contributed papers will be allowed a maximum of 20 minutes for presentation . published proceedings of the conference will be available if there is sufficient demand ordering information will be provided in september . instructions for the preparation of manuscripts will be sent along with notification of acceptance . please submit 4 copies of a 1 - page abstract no later than august 21 , 1998 . e - mail submissions will < italic > not < / italic > be accepted . submissions faxed to meet the deadline must be followed immediately by mailed abstracts on regular paper . mail abstracts to the address given below . send abstracts and / or requests for additional information about program content to : ron schaefer , department of english , siue , edwardsville , il 62026-1431 telephone : ( 618 ) 650-2060 ; fax : ( 618 ) 650-5050 or e - mail : rschaef @ siue . edu for registration information contact : southern illinois university conferences & institutes at ( 618 ) 650-2660 . for more information , including hotel and travel accomodations , consult our web page ( still under construction ) at < < http : / / www . siu . edu / departments / cola / ling01 / midamerica98 . html > geoffrey s . nathan department of linguistics southern illinois university at carbondale , carbondale , il , 62901 usa phone : + 618 453-3421 ( office ) fax + 618 453-6527 + 618 549-0106 ( home )",0.97,0.03,0.98,0.02,0.35,0.6,0.01,0.01,0.01,0.02,0.98,0.02,0.15,0.8,0.04,0.01
"> course, it instantly picked up on 'received:2001' as a non-ham. 
                                                            -spam.*sigh*
-- 
Anthony Baxter        
It's never too late to have a happy childhood.",0.97,0.03,0.98,0.02,0.95,0.02,0.01,0.01,0.005,0.005,0.98,0.02,0.96,0.03,0.007,0.003
"Hi All,Just wondering if anyone has ever installed StarOffice
6.0 (or Open Office), and if any have experienced any
problems with the install freezing ?I'm using RedHat 7.3 kernel 2.4.18-3, and glibc 2.2.5
?I might try downloading OpenOffice instead if it is
unresolved!!!!Cheers all,Colin
__________________________________________________
Do You Yahoo!?
Everything you'll ever need on one web page
from News and Sport to Email and Music Charts
http://uk.my.yahoo.com-- 
Irish Linux Users' Group: ilug@linux.ie
http://www.linux.ie/mailman/listinfo/ilug for (un)subscription information.
List maintainer: listmaster@linux.ie",0.98,0.02,0.99,0.01,0.96,0.03,0.003,0.002,0.003,0.002,0.99,0.01,0.95,0.04,0.007,0.003
"the best , just got better the 2 newest and hottest interactive adult web sites will soon be the largest ! ! ! check out both of the following adult web sites free samples and trial memberships ! ! ! ! live triple x adult entertainment and pictures . new content added weekly ! ! ! girls , boys , couples , and more ! ! ! check them both out : http : / / www2 . dirtyonline . com http : / / www . chixchat . com",0.010000000000000009,0.99,0.88,0.12,0.01,0.72,0.06,0.05,0.04,0.12,0.95,0.05,0.7,0.25,0.04,0.01
"enron mentions enron cuts shareholder equity by 1 . 2 bln usd due to partnership deal afx news , 10 / 18 / 01 calif energy panel oks first step for 1160 mw in projects dow jones energy service , 10 / 18 / 01 usa : enron ' s stock slides as equity reduction digested . reuters english news service , 10 / 18 / 01 brazil ' s copene , elektro plan to sell 820 mln reais of bonds bloomberg , 10 / 18 / 01 enron cuts shareholder equity by 1 . 2 bln usd due to partnership deal 10 / 18 / 2001 afx news ( c ) 2001 by afp - extel news ltd london ( afx ) - enron corp said it has reduced its shareholder equity by 1 . 2 bln usd as the company decided to repurchase 55 mln of its shares that it had issued as part of a series of complex transactions with an investment vehicle connected to its chief financial officer , andrew fastow , the wall street journal reported in its online edition . enron did not disclose the big equity reduction in its earnings release issued on tuesday , when the houston - based energy giant announced a 1 . 01 bln usd charge to third - quarter earnings that produced a 618 mln usd loss . however , the company briefly mentioned it in a subsequent call with security analysts and confirmed it in response to questions yesterday . as a result of the reduction , enron ' s shareholder equity dropped to 9 . 5 bln usd , the company said . in an interview , enron chairman kenneth lay said about 35 mln usd of the 1 . 01 bln usd charge to earnings was related to transactions with ljm 2 co - investment lp , a limited partnership created and run by fastow . in a conference call yesterday with investors , lay said 55 mln shares had been repurchased by enron , as the company "" unwound "" its participation in the transactions . in the third quarter , the company ' s average number of shares outstanding was 913 mln . according to rick causey , enron ' s chief accounting officer , these shares were contributed to a "" structured finance vehicle "" set up about two years ago in which enron and ljm 2 were the only investors . in exchange for the stock , the entity provided enron with a note . the aim of the transaction was to provide hedges against fluctuating values in some of enron ' s broadband telecommunications and other technology investments . causey did not elaborate on what form those hedges took . subsequently , both the value of enron ' s stock and the value of the broadband investments hedged by the entity dropped sharply , the report said . as a result , enron decided essentially to dissolve the financing vehicle and reacquire the shares . when enron reacquired the shares , it also canceled the note it had received from the entity . given all the complexities of the ljm - related financing vehicle and the questions it raised outside the company , "" the confusion factor wasn ' t worth the trouble of trying to continue this , "" causey said . mark palmer , an enron spokesman , described the capital reduction "" as just a balance - sheet issue "" and therefo",0.97,0.03,0.98,0.02,0.25,0.7,0.01,0.01,0.01,0.02,0.98,0.02,0.95,0.04,0.01,0.0
"don ' t know how much you can sa . ve in our zone . it is big . . . ger . how to release the pressure and tension that might be harmful ? what if you can ' t afford the brand name alleviations ? our cyberzone shovvs a vvide range of medicaments . we provide sho . ppers a better alternative for quicker alleviations . thecompany organizes the frequently prescribed medicaments in various categories including painrelief , sexualhealth , womenhealth , menshealth and other afflictions . seek the best . deals on medicaments in our zone . http : / / a 6 s . fo . cheerfultune . com / ge / not like in your local stores , you can experience complete security and eaze of sho . pping in our cyberzone . her usual habit , inst with his family at lyme for the winter ; of their being therefore , . she knew him ; she saw disdain in his eye , and could not venture to believe ead of comi ng to the elbow - chair by the fir . e , remained at the other end quite unknowingly , within twenty miles of each other . captain harville of the room , and 1 sat singing to herself . 7 ¡ ¡ ¡ ¡ - ' hope you have had a pleas",0.0050000000000000044,0.995,0.4,0.6,0.01,0.05,0.15,0.3,0.09,0.4,0.9,0.1,0.8,0.15,0.04,0.01
"* special book offer * from americana enterprizes * have you ever got a speeding ticket and needed a desperate way to get out of it ? * would you like to know how to become a mystery shopper ? * do you know how quick and easy it is to get a patent ? * would you like to know how to save big $ $ $ in real estate taxes ? * do you have any idea how easy it is to make $ $ with your home pc ? * do you know how easy it is to self publish your own book ? > > > > these questions are just a sample of the 16 topics that we have to offer . please read on . . . americana enterprizes offers a complete set of informational "" how to . . . "" books and manuals . presently , we have 16 titles that contain detailed easy-to - read information to enhance your knowledge of various topics . * * the following is a list of our comprehensive line : * * ( summaries of each topic are explained below ) 1 . how to get a patent easy and quickly . 2 . how to become a government hud tracer . 3 . complete guide to lowering your mortgage . 4 . how to turn your spare time into cash . 5 . how to get any job you want . 6 . quick and easy ways to make money at home . 7 . how to become a mystery shopper . 8 . how to save big $ $ in real estate taxes . 9 . how to make big $ $ $ with your personal computer . 10 . how to self publish your own book . 11 . how to stop smoking forever . 12 . how to make big $ $ $ buying and selling real estate . 13 . how to beat any speeding ticket . 14 . how to make a living as a musician . 15 . how to help your children with their homework . 16 . growing up drug free . * americana enterprizes saves you the hassle of going out and searching for this hard to find information . all the research and hard work has already been done for you . most of this information cannot be found in bookstores . * the best part of this offer from americana enterprizes is that these manuals are available through e - mail . no shopping in a bookstore or hours of researching the library . especially , no waiting "" 6 to 8 weeks for delivery . "" you can order from americana enterprizes and receive your book or manual within 24 hours from receipt of payment . * you ask how we can do this ? americana enterprizes has purchased the re-publishing rights to these 16 titles . we bought them on disc . the books are copyrighted and protected . so through our purchase , we can sell you these books through e-mail at a fraction of the cost we paid for them . * cost of these materials is a minimum compared to buying the manuals in a bookstore ( that is if you could find them ) . most major companies would have to charge $ 29 . 99 or more for hard binding these books . since we can send the manuals through email in one of three different formats , these costs are saved . we here at americana enterprizes can pass these savings on to the consumer . * * each book or manual is thorough and complete . they vary in page length from 30 to 40 pages . * * * * brief descriptions of each topic : ( best-sel",0.020000000000000018,0.98,0.7,0.3,0.02,0.45,0.02,0.2,0.01,0.3,0.95,0.05,0.8,0.15,0.04,0.01
"the ews tax update for august 31 , 2001 attached is a further installment of the ews tax update summarizing the many transactions supported by the ews tax group during the past several weeks . please do not hesitate to call me at x 30938 to discuss any of the described transactions . best regards to all . shd .",0.98,0.02,0.97,0.03,0.93,0.03,0.01,0.01,0.02,0.0,0.98,0.02,0.95,0.04,0.01,0.0
"I am Mr.IKE EJOH. Bank Manager of Diamond Bank of Nigeria, Lagos Branch. I have urgent and very confidential business proposal for you. On June 6  1999 a FOREIGN Oil consultant/contractor with the FEDERAL MINISTRY OF AVIATIONMr. Barry Kelly made a numbered time (Fixed) Deposit for twelve calendar months, valued at US$25,000,000.00 (Twenty- five Million Dollars) in my branch. Upon maturity, I sent a routine notification to his forwarding address but got no reply. After a month, we sent a reminder and finally we discovered from his  employers, the FEDERAL MINISTRY OF AVIATION that Mr. Barry Kelly died from an automobile accident. On further investigation, I found out that he died without making a WILL, and all attempts to trace his next of kin was fruitless. I therefore made further investigation and discovered that Mr. Barry Kelly did not declare any kin or relations in all his official documents, including his Bank Deposit paperwork in my Bank.This sum of US$25,000,000.00 is still sitting in my Bank and the interest is being rolled over with the principal sum at the end of each year. No one willever come forward to claim it.According to Nigerian Law, at the expiration of 6 (six) years, the money will revert to the ownership of the Nigerian Government if nobody applies to claim the fund. Consequently, i have just sucided in getting this fund sent to holland through a security company called GLOBAL& BASIC FINANCIAL COMPANY., I will like you to provide immediately your full names and address so that i will prepare the necessary documents and affidavits, which will put you in place as the owner of this fund in the security company. i shall employ the service of an Attorney for drafting and notarization of the changes  and to obtain the necessary documents and letter of probate & administration in your favour. There is no risk at all as all the paperwork for this transaction will be done by the Attorney and my position as the Bran
ch Manager guarantees the successful execution of this transaction. If you are interested, please replyimmediately via the private email address . Upon your response, I shall then provide you with more details and relevant documents that will help you understand the transaction. Please observe utmost confidentiality, and be rest assured that this transaction would be most profitable for both of us because I shall require your assistance to invest my share in your country.Awaiting your urgent reply via my email: Thanks and regards. MR.IKE EJOH",0.0050000000000000044,0.995,0.02,0.98,0.005,0.002,0.03,0.06,0.003,0.9,0.1,0.9,0.05,0.45,0.45,0.05
"petrochem desk i had a chance to speak with christian lebroc this morning with regard to curve building for petrochemicals . as it turns out , christian left rac in april and joined the petrochem desk as a trader . previous efforts at construction of a forward curve by the group have focused on intuition or swags . unfortunately , the group had a rough p & l year with at least some of the blame directed toward the forward curve or lack thereof . when asked about the fundamentals group , christian indicated that they ' d only been around about 3 - 4 months and are not yet well - suited to curve building . john nowlan is indeed the head of the group . from a timing perspective , i told christian that it would probably take at least 6 - 8 weeks to develop a curve , especially considering the need to understand the key market drivers / fundamentals . as was suggested yesterday during our meeting , a strong relationship between petrochemicals and a nymex component ( e . g . , crude oil ) would provide a great beginning point - - we could then potentially strengthen / augment this relationship with other key factors ( e . g . , supply and demand terms ) borne out of our market research . nelson",0.98,0.02,0.98,0.02,0.96,0.01,0.01,0.01,0.005,0.005,0.98,0.02,0.85,0.14,0.01,0.0
"= ? iso - 8859 - 7 ? q ? = 5 b = 3 f = 5 d _ re : _ 1 \ 2 _ off _ levitra = 2 c _ cial = eds _ - _ overni ? = = ? iso - 8859 - 7 ? q ? ght _ delivery ? = we now have over 200 meds available onl ' ine now ! the specials on va . lium , xa ` nax , cia "" lis , lev . itra , etc etc are incredible and are available for today on ` ly . this is a rare ba ' rgain onl ' ine . get xa ` nax or va . lium delivered to your doorstep . us doctor writes prescription onli . ne . us licensed pharmacy . overnight fedex shipping included . limited supply available . other on . line meds available at your onli . ne pharmacy . anybody can buy it as we deliver worldwide , fast and discreet . visit us at this new , fancy online store . none for me",0.0050000000000000044,0.995,0.4,0.6,0.01,0.1,0.1,0.35,0.04,0.4,0.85,0.15,0.1,0.45,0.4,0.05
"aggressive investors should be watching sports alumni , inc . investor alert ! if a group of investors would have the opportunity to have invest in the nba , nfl , nbl , nhl , and mls when the leagues started . how rich would they be today ? today we will be introducing a new football alumni association that will bring ex high school , college , and professional athletes around the united states to relive their glory days . as savvy investor prepare to buy this stock , it has become clear that this could be one of the most explosive opportunities of the year . you still have the opportunity to buy this stock for pennies to the dollar - but for how long ? here at wall street research we do not get excited about many stocks . that ' s because its getting harder and harder to find stocks that have potential to make investors rich very quickly . blue chips can ' t and ipo ' s rarely pay off small investors . history shows that the only consistent way for small investors to see their money double , triple , or more on the short run is to be smart enough to find small caps with huge potential and buy before they take off - the kind of stocks that gets us excited . company in review pink sheets symbol : spni http : / / www . . com recent price $ 0 . 50 target price $ 2 . 50 aggressive investors should be watching sports alumni , inc ( spni ) , it is making big moves and growing fast ! when the nba , nfl , nbl , nhl , and mls , talk about lockouts , half seasons or no season , salary caps , and even the referees join the turmoil every year one of these leagues threatens the passion for sports ! . will they play again this season ? sports alumni , inc is about bringing the passion of the former game to all ex high school , college , and professional athletes . not about how big of a salary they will be making the next couple of years . sports alumni , inc sports alumni , inc maybe you started playing football when you where 8 years old and never quite lost the love of the game . perhaps you even played college ball . what ever level you played , its a good bet that your passion for the game did not end when the whistle blew and the last play ended . that is what american football alumni seeks to bring back to the multi - million - member target market of former and current players and coaches . recent surveys reveal that 70 percent of former football players would be interested in joining a national alumni association whose makeup is former high school and college players . seventy - nine percent are interested in reunions with former teammates and 55 percent said they ' d be interested in purchasing their old school football jerseys , especially if their names were included . the afa will bring old teams together through its subscriber network , while offering on line stores of customized merchandise , a first class magazine , conventions , football travel packages national and local polls . this is an un - tapped industry within a multi - billion dollar",0.010000000000000009,0.99,0.28,0.72,0.01,0.06,0.01,0.1,0.01,0.81,0.65,0.35,0.15,0.55,0.27,0.03
