text,unsolicited__no,unsolicited__yes,kind__personal,kind__transactional,kind__promotional,kind__scam,asks_action__no,asks_action__yes,risk__0,risk__1,risk__2,risk__3,risk__4
"I'm not coming over, do whatever you want",0.97,0.03,0.96,0.01,0.01,0.02,0.95,0.05,0.95,0.03,0.01,0.005,0.005
Do you work all this week ?,0.97,0.03,0.96,0.01,0.01,0.02,0.65,0.35,0.94,0.04,0.01,0.005,0.005
My superior telling that friday is leave for all other department except ours:)so it will be leave for you:)any way call waheed fathima hr and conform it:),0.97,0.03,0.95,0.02,0.01,0.02,0.15000000000000002,0.85,0.8,0.15,0.03,0.01,0.01
Had your mobile 11mths ? Update for FREE to Oranges latest colour camera mobiles & unlimited weekend calls. Call Mobile Upd8 on freefone 08000839402 or 2StopTxt,0.020000000000000018,0.98,0.01,0.01,0.75,0.23,0.030000000000000027,0.97,0.01,0.45,0.4,0.12,0.02
Send me yetty's number pls.,0.97,0.03,0.95,0.01,0.01,0.03,0.15000000000000002,0.85,0.85,0.1,0.03,0.015,0.005
The guy did some bitching but I acted like i'd be interested in buying something else next week and he gave it to us for free,0.98,0.02,0.97,0.01,0.01,0.01,0.97,0.03,0.96,0.03,0.01,0.0,0.0
Desires- u going to doctor 4 liver. And get a bit stylish. Get ur hair managed. Thats it.,0.97,0.03,0.96,0.01,0.01,0.02,0.88,0.12,0.93,0.05,0.01,0.005,0.005
Am i that much dirty fellow?,0.97,0.03,0.96,0.01,0.01,0.02,0.88,0.12,0.94,0.04,0.01,0.007,0.003
"Aight text me when you're back at mu and I'll swing by, need somebody to get the door for me",0.98,0.02,0.97,0.01,0.01,0.01,0.19999999999999996,0.8,0.9,0.07,0.02,0.005,0.005
"Set a place for me in your heart and not in your mind, as the mind easily forgets but the heart will always remember. Wish you Happy Valentines Day!",0.85,0.15,0.85,0.01,0.1,0.04,0.97,0.03,0.9,0.08,0.015,0.004,0.001
"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",0.97,0.03,0.95,0.01,0.03,0.01,0.95,0.05,0.94,0.04,0.01,0.005,0.005
Then i buy.,0.97,0.03,0.95,0.02,0.01,0.02,0.95,0.05,0.94,0.04,0.01,0.005,0.005
Collect your VALENTINE'S weekend to PARIS inc Flight & Hotel + £200 Prize guaranteed! Text: PARIS to No: 69101. www.rtf.sphosting.com,0.020000000000000018,0.98,0.005,0.005,0.1,0.89,0.020000000000000018,0.98,0.01,0.05,0.15,0.5,0.29
Boltblue tones for 150p Reply POLY# or MONO# eg POLY3 1. Cha Cha Slide 2. Yeah 3. Slow Jamz 6. Toxic 8. Come With Me or STOP 4 more tones txt MORE,0.040000000000000036,0.96,0.01,0.02,0.85,0.12,0.030000000000000027,0.97,0.01,0.55,0.35,0.08,0.01
Do have a nice day today. I love you so dearly.,0.97,0.03,0.95,0.01,0.01,0.03,0.97,0.03,0.95,0.03,0.01,0.007,0.003
And popping &lt;#&gt; ibuprofens was no help.,0.98,0.02,0.97,0.01,0.01,0.01,0.97,0.03,0.96,0.03,0.01,0.0,0.0
"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES",0.030000000000000027,0.97,0.01,0.01,0.55,0.43,0.030000000000000027,0.97,0.01,0.15,0.5,0.28,0.06
"""HEY DAS COOL... IKNOW ALL 2 WELLDA PERIL OF STUDENTFINANCIAL CRISIS!SPK 2 U L8R.""",0.98,0.02,0.97,0.01,0.01,0.01,0.97,0.03,0.96,0.03,0.01,0.0,0.0
That is wondar full flim.,0.97,0.03,0.95,0.01,0.02,0.02,0.97,0.03,0.95,0.03,0.01,0.005,0.005
"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . .",0.9,0.1,0.9,0.01,0.05,0.04,0.97,0.03,0.93,0.06,0.01,0.0,0.0
Ok. Not sure what time tho as not sure if can get to library before class. Will try. See you at some point! Have good eve.,0.98,0.02,0.97,0.01,0.01,0.01,0.95,0.05,0.96,0.03,0.005,0.003,0.002
Lol no. Just trying to make your day a little more interesting,0.97,0.03,0.96,0.01,0.01,0.02,0.97,0.03,0.95,0.03,0.01,0.007,0.003
"Also north carolina and texas atm, you would just go to the gre site and pay for the test results to be sent.",0.97,0.03,0.95,0.02,0.01,0.02,0.92,0.08,0.9,0.07,0.02,0.007,0.003
Did u find a sitter for kaitlyn? I was sick and slept all day yesterday.,0.98,0.02,0.97,0.01,0.01,0.01,0.75,0.25,0.95,0.04,0.01,0.0,0.0
"Okay. No no, just shining on. That was meant to be signing, but that sounds better.",0.97,0.03,0.96,0.01,0.01,0.02,0.97,0.03,0.95,0.03,0.01,0.005,0.005
I can ask around but there's not a lot in terms of mids up here,0.97,0.03,0.96,0.01,0.01,0.02,0.95,0.05,0.93,0.04,0.02,0.007,0.003
Okey dokey swashbuckling stuff what oh.,0.97,0.03,0.95,0.01,0.02,0.02,0.96,0.04,0.94,0.04,0.01,0.005,0.005
"Found it, ENC  &lt;#&gt; , where you at?",0.97,0.03,0.95,0.02,0.01,0.02,0.4,0.6,0.94,0.04,0.01,0.005,0.005
It's é only $140 ard...É rest all ard $180 at least...Which is é price 4 é 2 bedrm ($900),0.97,0.03,0.95,0.02,0.02,0.01,0.92,0.08,0.93,0.05,0.015,0.004,0.001
Sorry i cant take your call right now. It so happens that there r 2waxsto do wat you want. She can come and ill get her medical insurance. And she'll be able to deliver and have basic care. I'm currently shopping for the right medical insurance for her. So just give me til friday morning. Thats when i.ll see the major person that can guide me to the right insurance.,0.98,0.02,0.97,0.01,0.01,0.01,0.85,0.15,0.93,0.05,0.01,0.007,0.003
I'm home. Ard wat time will u reach?,0.98,0.02,0.97,0.01,0.01,0.01,0.55,0.45,0.95,0.03,0.01,0.005,0.005
The message sent is askin for  &lt;#&gt; dollars. Shoul i pay  &lt;#&gt;  or  &lt;#&gt; ?,0.96,0.04,0.94,0.02,0.01,0.03,0.28,0.72,0.88,0.07,0.03,0.015,0.005
"said kiss, kiss, i can't do the sound effects! He is a gorgeous man isn't he! Kind of person who needs a smile to brighten his day!",0.98,0.02,0.97,0.01,0.01,0.01,0.95,0.05,0.95,0.03,0.01,0.005,0.005
At the funeral home with Audrey and dad,0.98,0.02,0.97,0.01,0.01,0.01,0.97,0.03,0.96,0.03,0.01,0.0,0.0
"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08718726970 NOW! Only 10p per min. BT-national-rate",0.010000000000000009,0.99,0.005,0.005,0.04,0.95,0.010000000000000009,0.99,0.005,0.02,0.1,0.5,0.375
So when do you wanna gym?,0.98,0.02,0.97,0.01,0.01,0.01,0.75,0.25,0.95,0.04,0.01,0.0,0.0
Leave it de:-). Start Prepare for next:-)..,0.97,0.03,0.95,0.01,0.02,0.02,0.88,0.12,0.92,0.05,0.02,0.007,0.003
No one interested. May be some business plan.,0.95,0.05,0.93,0.02,0.03,0.02,0.95,0.05,0.93,0.05,0.015,0.004,0.001
"Thanks, I'll keep that in mind",0.97,0.03,0.96,0.02,0.01,0.01,0.98,0.02,0.96,0.03,0.01,0.0,0.0
Hi mate its RV did u hav a nice hol just a message 3 say hello coz havent sent u 1 in ages started driving so stay off roads!RVx,0.97,0.03,0.96,0.01,0.01,0.02,0.95,0.05,0.95,0.03,0.01,0.005,0.005
Dear i am not denying your words please,0.97,0.03,0.96,0.01,0.01,0.02,0.95,0.05,0.95,0.03,0.01,0.007,0.003
At what time are you coming.,0.97,0.03,0.95,0.02,0.01,0.02,0.75,0.25,0.93,0.05,0.01,0.005,0.005
Really? I crashed out cuddled on my sofa.,0.98,0.02,0.97,0.01,0.01,0.01,0.95,0.05,0.95,0.03,0.01,0.005,0.005
Kallis is ready for bat in 2nd innings,0.94,0.06,0.9,0.05,0.03,0.02,0.97,0.03,0.93,0.05,0.015,0.004,0.001
Hi dis is yijue i would be happy to work wif ü all for gek1510...,0.96,0.04,0.95,0.02,0.01,0.02,0.88,0.12,0.9,0.07,0.02,0.007,0.003
Actually i deleted my old website..now i m blogging at magicalsongs.blogspot.com,0.96,0.04,0.94,0.01,0.04,0.01,0.8,0.2,0.7,0.25,0.04,0.007,0.003
Ill call you evening ill some ideas.,0.97,0.03,0.95,0.02,0.01,0.02,0.95,0.05,0.95,0.03,0.01,0.005,0.005
u r a winner U ave been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810710p/min (18 ),0.010000000000000009,0.99,0.005,0.005,0.04,0.95,0.020000000000000018,0.98,0.005,0.02,0.08,0.5,0.395
"Claim a 200 shopping spree, just call 08717895698 now! Have you won! MobStoreQuiz10ppm",0.010000000000000009,0.99,0.005,0.005,0.06,0.93,0.010000000000000009,0.99,0.005,0.02,0.1,0.55,0.325
Wow so healthy. Old airport rd lor. Cant thk of anything else. But i'll b bathing my dog later.,0.98,0.02,0.97,0.01,0.01,0.01,0.95,0.05,0.96,0.03,0.01,0.0,0.0
"You at mu? You should try to figure out how much money everyone has for gas and alcohol, jay and I are trying to figure out our weed budget",0.98,0.02,0.97,0.01,0.01,0.01,0.25,0.75,0.9,0.07,0.02,0.007,0.003
"Sorry, it's a lot of friend-of-a-friend stuff, I'm just now about to talk to the actual guy who wants to buy",0.97,0.03,0.95,0.01,0.01,0.03,0.95,0.05,0.93,0.04,0.02,0.01,0.0
"Im in inperialmusic listening2the weirdest track ever byleafcutter john-sounds like insects being molested&someone plumbing,remixed by evil men on acid!",0.98,0.02,0.96,0.01,0.02,0.01,0.97,0.03,0.95,0.04,0.01,0.0,0.0
"Edison has rightly said, ""A fool can ask more questions than a wise man can answer"" Now you know why all of us are speechless during ViVa.. GM,GN,GE,GNT:-)",0.88,0.12,0.88,0.01,0.06,0.05,0.97,0.03,0.9,0.07,0.02,0.007,0.003
"Christmas is An occasion that is Celebrated as a Reflection of UR... Values..., Desires..., Affections...&amp; Traditions.... Have an ideal Christmas...",0.88,0.12,0.85,0.01,0.09,0.05,0.97,0.03,0.9,0.08,0.02,0.0,0.0
Hi di is yijue we're meeting at 7 pm at esaplanade tonight.,0.97,0.03,0.96,0.02,0.01,0.01,0.92,0.08,0.94,0.04,0.01,0.005,0.005
Hmm ill have to think about it... ok you're forgiven! =D,0.98,0.02,0.96,0.01,0.01,0.02,0.97,0.03,0.96,0.02,0.01,0.005,0.005
"Alright, I'll head out in a few minutes, text me where to meet you",0.98,0.02,0.97,0.01,0.01,0.01,0.4,0.6,0.95,0.03,0.01,0.005,0.005
So are you guys asking that i get that slippers again or its gone with last year,0.97,0.03,0.95,0.02,0.02,0.01,0.75,0.25,0.93,0.05,0.01,0.005,0.005
thesmszone.com lets you send free anonymous and masked messages..im sending this message from there..do you see the potential for abuse???,0.85,0.15,0.8,0.02,0.1,0.08,0.65,0.35,0.55,0.3,0.12,0.02,0.01
Havent stuck at orchard in my dad's car. Going 4 dinner now. U leh? So r they free tonight?,0.98,0.02,0.97,0.01,0.01,0.01,0.75,0.25,0.95,0.03,0.01,0.005,0.005
You have an important customer service announcement from PREMIER.,0.06999999999999995,0.93,0.02,0.05,0.43,0.5,0.8,0.2,0.4,0.3,0.22,0.07,0.01
"Geeeee ... Your internet is really bad today, eh ?",0.97,0.03,0.96,0.01,0.01,0.02,0.95,0.05,0.95,0.03,0.01,0.005,0.005
"How long before you get reply, just defer admission til next semester",0.97,0.03,0.95,0.02,0.01,0.02,0.75,0.25,0.93,0.05,0.01,0.005,0.005
Sweet heart how are you?,0.92,0.08,0.9,0.01,0.01,0.08,0.88,0.12,0.9,0.05,0.03,0.015,0.005
"Ok thats cool. Its , just off either raglan rd or edward rd. Behind the cricket ground. Gimme ring when ur closeby see you tuesday.",0.98,0.02,0.97,0.01,0.01,0.01,0.4,0.6,0.93,0.05,0.015,0.003,0.002
"This is one of the days you have a billion classes, right?",0.98,0.02,0.97,0.01,0.01,0.01,0.9,0.1,0.96,0.03,0.01,0.0,0.0
Jus finish my lunch on my way home lor... I tot u dun wan 2 stay in sch today...,0.98,0.02,0.97,0.01,0.01,0.01,0.95,0.05,0.96,0.03,0.01,0.0,0.0
Are you free now?can i call now?,0.96,0.04,0.95,0.01,0.01,0.03,0.15000000000000002,0.85,0.9,0.06,0.03,0.007,0.003
Urgent! Please call 09061743810 from landline. Your ABTA complimentary 4* Tenerife Holiday or #5000 cash await collection SAE T&Cs Box 326 CW25WX 150 ppm,0.010000000000000009,0.99,0.005,0.005,0.04,0.95,0.010000000000000009,0.99,0.005,0.02,0.08,0.5,0.395
Up to ü... Ü wan come then come lor... But i din c any stripes skirt...,0.98,0.02,0.97,0.01,0.01,0.01,0.92,0.08,0.95,0.04,0.01,0.0,0.0
I WILL CAL YOU SIR. In meeting,0.97,0.03,0.95,0.02,0.01,0.02,0.95,0.05,0.94,0.04,0.01,0.005,0.005
Eat at old airport road... But now 630 oredi... Got a lot of pple...,0.98,0.02,0.97,0.01,0.01,0.01,0.95,0.05,0.96,0.03,0.01,0.0,0.0
You tell what happen dont behave like this to me. Ok no need to say,0.97,0.03,0.96,0.01,0.01,0.02,0.65,0.35,0.93,0.05,0.015,0.004,0.001
:( but your not here....,0.97,0.03,0.96,0.01,0.01,0.02,0.97,0.03,0.95,0.03,0.01,0.005,0.005
Reminder: You have not downloaded the content you have already paid for. Goto http://doit. mymoby. tv/ to collect your content.,0.06999999999999995,0.93,0.01,0.05,0.4,0.54,0.030000000000000027,0.97,0.01,0.12,0.45,0.35,0.07
Ya srsly better than yi tho,0.97,0.03,0.95,0.01,0.01,0.03,0.95,0.05,0.93,0.04,0.02,0.007,0.003
"not that I know of, most people up here are still out of town",0.98,0.02,0.96,0.01,0.01,0.02,0.97,0.03,0.95,0.03,0.01,0.005,0.005
Have you bookedthe hut? And also your time off? How are you by the way?,0.98,0.02,0.97,0.01,0.01,0.01,0.65,0.35,0.95,0.03,0.01,0.005,0.005
Y de asking like this.,0.97,0.03,0.95,0.01,0.01,0.03,0.95,0.05,0.95,0.03,0.01,0.007,0.003
I need details about that online job.,0.88,0.12,0.85,0.02,0.03,0.1,0.4,0.6,0.7,0.15,0.1,0.04,0.01
Its good to hear from you,0.96,0.04,0.95,0.01,0.01,0.03,0.97,0.03,0.94,0.03,0.02,0.01,0.0
Just come home. I don't want u to be miserable,0.98,0.02,0.97,0.01,0.01,0.01,0.75,0.25,0.95,0.03,0.01,0.005,0.005
Just sing HU. I think its also important to find someone female that know the place well preferably a citizen that is also smart to help you navigate through. Even things like choosing a phone plan require guidance. When in doubt ask especially girls.,0.97,0.03,0.95,0.01,0.01,0.03,0.92,0.08,0.9,0.07,0.02,0.007,0.003
For The First Time In The History 'Need' 'Comfort' And 'Luxury' Are Sold At Same Price In India..!! Onion-Rs. &lt;#&gt;  Petrol-Rs. &lt;#&gt;  Beer-Rs. &lt;#&gt;  SHESIL  &lt;#&gt;,0.85,0.15,0.85,0.01,0.1,0.04,0.95,0.05,0.9,0.08,0.015,0.004,0.001
I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of  &lt;#&gt; Lacs.there is no source to arng dis amt. &lt;#&gt; lacs..thats my prob,0.94,0.06,0.9,0.01,0.01,0.08,0.8,0.2,0.72,0.15,0.06,0.05,0.02
Oh yeah I forgot. U can only take 2 out shopping at once.,0.98,0.02,0.97,0.01,0.01,0.01,0.95,0.05,0.96,0.03,0.005,0.003,0.002
Lol! Oops sorry! Have fun.,0.97,0.03,0.96,0.01,0.01,0.02,0.97,0.03,0.95,0.03,0.01,0.005,0.005
Yes. Last  practice,0.97,0.03,0.96,0.02,0.01,0.01,0.95,0.05,0.95,0.04,0.01,0.0,0.0
Dear we are going to our rubber place,0.97,0.03,0.95,0.02,0.01,0.02,0.95,0.05,0.94,0.04,0.01,0.005,0.005
Hey... Why dont we just go watch x men and have lunch... Haha,0.98,0.02,0.97,0.01,0.01,0.01,0.88,0.12,0.95,0.04,0.01,0.0,0.0
Did u got that persons story,0.97,0.03,0.96,0.01,0.01,0.02,0.75,0.25,0.94,0.04,0.015,0.004,0.001
U are subscribed to the best Mobile Content Service in the UK for £3 per 10 days until you send STOP to 82324. Helpline 08706091795,0.050000000000000044,0.95,0.01,0.05,0.55,0.39,0.4,0.6,0.05,0.2,0.4,0.3,0.05
Don't forget though that I love you .... And I walk beside you. Watching over you and keeping your heart warm.,0.96,0.04,0.95,0.01,0.02,0.02,0.97,0.03,0.95,0.03,0.01,0.007,0.003
Not tonight mate. Catching up on some sleep. This is my new number by the way.,0.94,0.06,0.9,0.01,0.01,0.08,0.88,0.12,0.8,0.06,0.08,0.04,0.02
Huh means computational science... Y they like dat one push here n there...,0.97,0.03,0.96,0.01,0.01,0.02,0.95,0.05,0.95,0.03,0.01,0.005,0.005
Let there be snow. Let there be snow. This kind of weather brings ppl together so friendships can grow.,0.94,0.06,0.9,0.01,0.06,0.03,0.97,0.03,0.93,0.05,0.015,0.004,0.001
"YOUR CHANCE TO BE ON A REALITY FANTASY SHOW call now = 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national = rate call.",0.020000000000000018,0.98,0.01,0.01,0.35,0.63,0.030000000000000027,0.97,0.01,0.15,0.35,0.42,0.07
"Well, I meant as opposed to my drunken night of before",0.97,0.03,0.96,0.01,0.01,0.02,0.96,0.04,0.95,0.03,0.01,0.005,0.005
How much u trying to get?,0.96,0.04,0.95,0.01,0.01,0.03,0.75,0.25,0.9,0.06,0.03,0.01,0.0
Height of recycling: Read twice- People spend time for earning money and the same money is spent for spending time!;-) Good morning.. keep smiling:-),0.92,0.08,0.9,0.01,0.04,0.05,0.95,0.05,0.93,0.06,0.01,0.0,0.0
I am on the way to ur home,0.97,0.03,0.95,0.02,0.01,0.02,0.95,0.05,0.93,0.04,0.02,0.007,0.003
I will be gentle baby! Soon you will be taking all  &lt;#&gt;  inches deep inside your tight pussy...,0.94,0.06,0.92,0.01,0.03,0.04,0.97,0.03,0.9,0.06,0.03,0.007,0.003
WOT U UP 2 J?,0.97,0.03,0.96,0.01,0.01,0.02,0.75,0.25,0.93,0.04,0.02,0.01,0.0
"V-aluable. A-ffectionate. L-oveable. E-ternal. N-oble. T-ruthful. I-ntimate. N-atural. E-namous. Happy ""VALENTINES DAY"" in advance",0.88,0.12,0.85,0.01,0.1,0.04,0.97,0.03,0.9,0.08,0.015,0.004,0.001
"I know where the  &lt;#&gt;  is, I'll be there around 5",0.97,0.03,0.95,0.02,0.01,0.02,0.95,0.05,0.94,0.04,0.01,0.005,0.005
"SMS. ac JSco: Energy is high, but u may not know where 2channel it. 2day ur leadership skills r strong. Psychic? Reply ANS w/question. End? Reply END JSCO",0.12,0.88,0.02,0.05,0.63,0.3,0.06999999999999995,0.93,0.02,0.2,0.5,0.24,0.04
U can call me now...,0.96,0.04,0.94,0.01,0.01,0.04,0.15000000000000002,0.85,0.88,0.06,0.04,0.015,0.005
Good evening! How are you?,0.95,0.05,0.93,0.01,0.02,0.04,0.75,0.25,0.9,0.06,0.03,0.01,0.0
Cos i was out shopping wif darren jus now n i called him 2 ask wat present he wan lor. Then he started guessing who i was wif n he finally guessed darren lor.,0.98,0.02,0.97,0.01,0.01,0.01,0.97,0.03,0.96,0.03,0.01,0.0,0.0
I just cooked a rather nice salmon a la you,0.98,0.02,0.97,0.01,0.01,0.01,0.97,0.03,0.96,0.03,0.01,0.0,0.0
Oh thanks a lot..i already bought 2 eggs ..,0.97,0.03,0.95,0.02,0.01,0.02,0.97,0.03,0.95,0.03,0.01,0.005,0.005
Reply to win £100 weekly! Where will the 2006 FIFA World Cup be held? Send STOP to 87239 to end service,0.030000000000000027,0.97,0.01,0.01,0.3,0.68,0.050000000000000044,0.95,0.010000000000000002,0.12000000000000001,0.35000000000000003,0.42000000000000004,0.10000000000000002
I dun believe u. I thk u told him.,0.98,0.02,0.97,0.01,0.01,0.01,0.95,0.05,0.95,0.03,0.01,0.005,0.005
Wait  &lt;#&gt;  min..,0.96,0.04,0.95,0.02,0.01,0.02,0.85,0.15,0.92,0.05,0.02,0.007,0.003
You know my old Dom I told you about yesterday ? His name is Roger? He got in touch with me last night and wants me to meet him today at 2 pm,0.97,0.03,0.95,0.01,0.01,0.03,0.95,0.05,0.94,0.04,0.01,0.007,0.003
"Good afternoon, my love ! Any job prospects ? Are you missing me ? What do you do ? Are you being lazy and bleak, hmmm ? Or happy and filled with my love ?",0.98,0.02,0.97,0.005,0.005,0.02,0.88,0.12,0.95,0.03,0.01,0.007,0.003
Hows that watch resizing,0.97,0.03,0.95,0.02,0.02,0.01,0.75,0.25,0.93,0.05,0.015,0.004,0.001
"The last thing i ever wanted to do was hurt you. And i didn't think it would have. You'd laugh, be embarassed, delete the tag and keep going. But as far as i knew, it wasn't even up. The fact that you even felt like i would do it to hurt you shows you really don't know me at all. It was messy wednesday, but it wasn't bad. The problem i have with it is you HAVE the time to clean it, but you choose not to. You skype, you take pictures, you sleep, you want to go out. I don't mind a few things here and there, but when you don't make the bed, when you throw laundry on top of it, when i can't have a friend in the house because i'm embarassed that there's underwear and bras strewn on the bed, pillows on the floor, that's something else. You used to be good about at least making the bed.",0.98,0.02,0.97,0.01,0.01,0.01,0.92,0.08,0.95,0.04,0.005,0.003,0.002
Stop knowing me so well!,0.97,0.03,0.95,0.01,0.02,0.02,0.95,0.05,0.94,0.04,0.01,0.005,0.005
"Yeah probably, I still gotta check out with leo",0.97,0.03,0.96,0.01,0.01,0.02,0.95,0.05,0.95,0.03,0.01,0.005,0.005
Lol enjoy role playing much?,0.97,0.03,0.96,0.01,0.01,0.02,0.9,0.1,0.94,0.04,0.01,0.005,0.005
PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203694 Identifier Code: 40533 Expires 31/10/04,0.010000000000000009,0.99,0.005,0.01,0.045,0.94,0.020000000000000018,0.98,0.005,0.02,0.1,0.5,0.375
I‘m parked next to a MINI!!!! When are you coming in today do you think?,0.98,0.02,0.97,0.01,0.01,0.01,0.75,0.25,0.95,0.04,0.01,0.0,0.0
"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.",0.98,0.02,0.97,0.01,0.01,0.01,0.95,0.05,0.95,0.03,0.01,0.005,0.005
Well done ENGLAND! Get the official poly ringtone or colour flag on yer mobile! text TONE or FLAG to 84199 NOW! Opt-out txt ENG STOP. Box39822 W111WX £1.50,0.030000000000000027,0.97,0.01,0.01,0.82,0.16,0.030000000000000027,0.97,0.01,0.45,0.4,0.12,0.02
Sorry. You never hear unless you book it. One was kinda a joke--thet were really looking for skinny white girls. The other was one line--you can only do so much on camera with that. Something like that they're casting on the look.,0.97,0.03,0.96,0.01,0.01,0.02,0.96,0.04,0.95,0.03,0.01,0.005,0.005
I dled 3d its very imp,0.97,0.03,0.95,0.02,0.01,0.02,0.92,0.08,0.93,0.05,0.015,0.004,0.001
I have no money 4 steve mate! !,0.97,0.03,0.95,0.01,0.01,0.03,0.95,0.05,0.93,0.04,0.02,0.01,0.0
Ok. C u then.,0.98,0.02,0.97,0.01,0.01,0.01,0.97,0.03,0.96,0.03,0.005,0.003,0.002
Boo. How's things? I'm back at home and a little bored already :-(,0.98,0.02,0.97,0.01,0.01,0.01,0.88,0.12,0.96,0.03,0.01,0.0,0.0
"What will we do in the shower, baby?",0.96,0.04,0.94,0.005,0.015,0.04,0.88,0.12,0.9,0.06,0.03,0.008,0.002
Lol they were mad at first but then they woke up and gave in.,0.98,0.02,0.97,0.01,0.01,0.01,0.97,0.03,0.96,0.02,0.01,0.005,0.005
"Come to me right now, Ahmad",0.95,0.05,0.93,0.01,0.01,0.05,0.4,0.6,0.85,0.08,0.04,0.02,0.01
You have got tallent but you are wasting.,0.96,0.04,0.95,0.01,0.02,0.02,0.97,0.03,0.95,0.03,0.01,0.007,0.003
Its sunny in california. The weather's just cool,0.97,0.03,0.96,0.01,0.02,0.01,0.97,0.03,0.95,0.04,0.01,0.0,0.0
Captain is in our room:),0.97,0.03,0.95,0.02,0.01,0.02,0.97,0.03,0.96,0.03,0.01,0.0,0.0
Txt: CALL to No: 86888 & claim your reward of 3 hours talk time to use from your phone now! Subscribe6GBP/mnth inc 3hrs 16 stop?txtStop www.gamb.tv,0.020000000000000018,0.98,0.005,0.01,0.35,0.635,0.020000000000000018,0.98,0.01,0.07,0.3,0.5,0.12
Okie but i scared u say i fat... Then u dun wan me already...,0.98,0.02,0.97,0.01,0.01,0.01,0.95,0.05,0.95,0.03,0.01,0.005,0.005
"Den only weekdays got special price... Haiz... Cant eat liao... Cut nails oso muz wait until i finish drivin wat, lunch still muz eat wat...",0.98,0.02,0.97,0.01,0.01,0.01,0.95,0.05,0.95,0.04,0.01,0.0,0.0
"Update_Now - Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/F4Q=",0.020000000000000018,0.98,0.01,0.01,0.7,0.28,0.030000000000000027,0.97,0.01,0.4,0.45,0.12,0.02
Glad it went well :) come over at 11 then we'll have plenty of time before claire goes to work.,0.98,0.02,0.97,0.01,0.01,0.01,0.75,0.25,0.95,0.04,0.01,0.0,0.0
I asked you to call him now ok,0.97,0.03,0.95,0.02,0.01,0.02,0.15000000000000002,0.85,0.88,0.07,0.03,0.01,0.01
The 2 oz guy is being kinda flaky but one friend is interested in picking up $ &lt;#&gt;  worth tonight if possible,0.97,0.03,0.95,0.01,0.01,0.03,0.7,0.3,0.85,0.08,0.05,0.015,0.005
That means get the door,0.97,0.03,0.96,0.01,0.01,0.02,0.44999999999999996,0.55,0.93,0.05,0.01,0.005,0.005
"I'm outside islands, head towards hard rock and you'll run into me",0.98,0.02,0.97,0.01,0.01,0.01,0.88,0.12,0.95,0.03,0.01,0.005,0.005
Oh really?? Did you make it on air? What's your talent?,0.98,0.02,0.97,0.01,0.01,0.01,0.9,0.1,0.96,0.02,0.01,0.005,0.005
"Dont worry, 1 day very big lambu ji vl come..til then enjoy batchlor party:-)",0.97,0.03,0.95,0.01,0.02,0.02,0.95,0.05,0.94,0.04,0.01,0.005,0.005
"If you want to mapquest it or something look up ""usf dogwood drive"", that's the tiny street where the parking lot is",0.98,0.02,0.96,0.02,0.01,0.01,0.75,0.25,0.9,0.07,0.02,0.007,0.003
Gokila is talking with you aha:),0.95,0.05,0.93,0.02,0.02,0.03,0.95,0.05,0.93,0.04,0.02,0.007,0.003
We tried to call you re your reply to our sms for a video mobile 750 mins UNLIMITED TEXT + free camcorder Reply of call 08000930705 Now,0.020000000000000018,0.98,0.005,0.01,0.5,0.485,0.030000000000000027,0.97,0.01,0.15,0.4,0.35,0.09
Where are you ? What do you do ? How can you stand to be away from me ? Doesn't your heart ache without me ? Don't you wonder of me ? Don't you crave me ?,0.95,0.05,0.93,0.01,0.02,0.04,0.9,0.1,0.93,0.04,0.02,0.01,0.0
"Mum, hope you are having a great day. Hoping this text meets you well and full of life. Have a great day. Abiola",0.97,0.03,0.96,0.01,0.01,0.02,0.97,0.03,0.95,0.03,0.01,0.007,0.003
INTERFLORA - It's not too late to order Interflora flowers for christmas call 0800 505060 to place your order before Midnight tomorrow.,0.06999999999999995,0.93,0.01,0.03,0.9,0.06,0.050000000000000044,0.95,0.03,0.8,0.13,0.03,0.01
I want snow. It's just freezing and windy.,0.97,0.03,0.96,0.01,0.01,0.02,0.97,0.03,0.96,0.02,0.01,0.005,0.005
"Yeah I think my usual guy's still passed out from last night, if you get ahold of anybody let me know and I'll throw down",0.97,0.03,0.96,0.01,0.01,0.02,0.44999999999999996,0.55,0.88,0.07,0.03,0.01,0.01
